ClientID,Lat,Lon,ProductType,Kg
7196842447,4.63325578,-74.07122035,Dry,11
7196842460,4.61898248,-74.0874857,Chilled,3
7196842460,4.61898248,-74.0874857,Frozen,2
7196842540,4.72165071,-74.11163517,Dry,18
7196842558,4.60445011,-74.08450983,Chilled,4
7196842648,4.70676577,-74.11223418,Chilled,54
7196842936,4.645166387,-74.13874242,Chilled,4
7196842985,4.69641404,-74.04410098,Dry,26292
7196843114,4.72783004,-74.06390327,Chilled,13
7196843114,4.72783004,-74.06390327,Dry,198
7196843162,4.74855046,-74.04373709,Chilled,6
7196843162,4.74855046,-74.04373709,Dry,1
7196843216,4.6890949,-74.1311616,Dry,2
7196843221,4.6892625,-74.12837746,Chilled,14
7196843221,4.6892625,-74.12837746,Dry,18
7196843381,4.68501444,-74.05119571,Dry,19
7196843446,4.67525608,-74.04731512,Dry,879
7196843521,4.62951862,-74.12578295,Chilled,1
7196843521,4.62951862,-74.12578295,Dry,64
7196843527,4.62691304,-74.06473299,Dry,47
7196843527,4.62691304,-74.06473299,Chilled,5
7196843670,4.73108439,-74.26473283,Chilled,5
7196843733,4.72547394,-74.05540576,Dry,10
7196843861,4.59550451,-74.16094253,Dry,212
7196843878,4.70213153,-74.04115166,Dry,84
7196844031,4.68863721,-74.14847558,Dry,12
7196844109,4.7251759,-74.03200979,Dry,1
7196844187,4.6432292,-74.07500999,Chilled,95
7196844187,4.6432292,-74.07500999,Dry,3
7196844202,4.614370244,-74.07058716,Chilled,77
7196844274,4.6720003,-74.1556529,Dry,9
7196844302,4.67032514,-74.05325886,Chilled,5
7196844426,4.69430749,-74.0784099,Dry,158
7196844452,4.63270907,-74.13368745,Chilled,24
7196844452,4.63270907,-74.13368745,Dry,1
7196844452,4.63270907,-74.13368745,Frozen,10
7196844476,4.64808909,-74.1004883,Dry,6
7196844579,4.59185922,-74.07147959,Dry,12
7196844699,4.5997337,-74.07326679,Dry,625
7196844706,4.775305,-74.17884598,Chilled,26
7196844706,4.775305,-74.17884598,Dry,215
7196844904,4.667790446,-74.05332353,Chilled,53
7196844904,4.667790446,-74.05332353,Dry,1
7196844907,4.66544089,-74.05390293,Dry,1468
7196845150,4.68774474,-74.04022697,Chilled,20
7196845150,4.68774474,-74.04022697,Dry,44
7196845150,4.68774474,-74.04022697,Frozen,5
7196845269,4.702526765,-74.03941981,Chilled,19
7196845269,4.702526765,-74.03941981,Dry,33
7196845269,4.702526765,-74.03941981,Frozen,15
7196845309,4.714113285,-74.05853165,Chilled,4
7196845318,4.68259633,-74.12139132,Dry,11
7196845318,4.68259633,-74.12139132,Chilled,9
7196845362,4.599656049,-74.07576874,Dry,15
7196845376,4.7325009,-74.06548882,Dry,1
7196845382,4.65232994,-74.05597864,Dry,10
7196845398,4.68255665,-74.13421116,Dry,20
7196845416,4.6905863,-74.06545933,Chilled,83
7196845416,4.6905863,-74.06545933,Dry,26
7196845416,4.6905863,-74.06545933,Frozen,3
7196845440,4.65306619,-74.05492009,Dry,8
7196845580,4.70269694,-74.1049892,Chilled,2
7196845580,4.70269694,-74.1049892,Dry,47
7196845667,4.65531531,-74.06465596,Chilled,6
7196845667,4.65531531,-74.06465596,Dry,37
7196845682,4.69755565,-74.04584479,Dry,1
7196845744,4.64108199,-74.12342927,Dry,75
7196845970,4.682930542,-74.06458514,Dry,10
7196845970,4.682930542,-74.06458514,Chilled,45
7196845974,4.875233349,-74.03638315,Dry,607
7196845980,4.714113285,-74.05853165,Chilled,1
7196845980,4.714113285,-74.05853165,Dry,2
7196846150,4.6644383,-74.05423956,Chilled,335
7196846168,4.7723973,-74.04457099,Chilled,9
7196846168,4.7723973,-74.04457099,Dry,9
7196846345,4.68909504,-74.13116219,Chilled,21
7196846345,4.68909504,-74.13116219,Dry,13
7196846481,4.79532739,-74.04693111,Dry,10
7196846729,4.6058928,-74.08515958,Chilled,23
7196846729,4.6058928,-74.08515958,Dry,20
7196846784,4.67363355,-74.11747272,Dry,1735
7196846825,4.67222,-74.05123,Dry,6
7196846825,4.67222,-74.05123,Chilled,29
