Date,ClientID,Lat,Lon,Kg,ProductType
2024-07-05,7195978477,4.737617874878188,-74.02950213757391,158,Chilled
2024-07-05,7195978620,4.702262202122221,-74.0426143080676,40,Chilled
2024-07-05,7195979089,4.784112884866741,-74.04407620052615,69,Dry
2024-07-05,7195979413,4.763343740104483,-74.04627667818085,130,Dry
2024-07-05,7195979624,4.630698066443309,-74.09852559903827,48,Dry
2024-07-05,7195980640,4.646748281740631,-74.12164523705849,125,Dry
2024-07-05,7195981755,4.850949592968133,-74.07630815639159,192,Dry
2024-07-05,7195981768,4.775284954475675,-74.14049856091806,103,Dry
2024-07-05,7195982773,4.686272522423894,-74.13354690864345,150,Chilled
2024-07-05,7195983373,4.747975414139939,-74.16288206689292,42,Dry
2024-07-05,7195983647,4.730874399790287,-74.06834362110126,300,Chilled
2024-07-05,7195983647,4.730874399790287,-74.06834362110126,660,Dry
2024-07-05,7195985448,4.7098697863058625,-74.1201263929855,44,Dry
2024-07-05,7195985556,4.68157228337099,-74.05757498105615,162,Chilled
2024-07-05,7195985825,4.650936204169426,-74.12109040122257,1606,Dry
2024-07-05,7195986202,4.670033545837718,-74.06859049836292,105,Chilled
2024-07-05,7195986437,4.669991644599539,-74.0684737580573,48,Chilled
2024-07-05,7195986806,4.670710612443683,-74.06117939227383,145,Dry
2024-07-05,7195986871,4.659248607004109,-74.05461541758693,68,Dry
2024-07-05,7195987077,4.656704835766206,-74.06993888282486,52,Dry
2024-07-05,7195987386,4.887064476786706,-74.03568727654942,49,Dry
2024-07-05,7195987403,4.671202623117966,-74.06925576831667,918,Dry
2024-07-05,7195987550,4.671181627731812,-74.06930100958428,520,Dry
2024-07-05,7195987862,4.610321046591291,-74.13805485134459,1224,Dry
2024-07-05,7195987888,4.668820595280001,-74.04830969803774,40,Dry
2024-07-05,7195988397,4.6663580232420845,-74.05566066734198,46,Dry
2024-07-05,7195988640,4.731162910196064,-74.08019106049602,57,Dry
2024-07-05,7195989106,4.603432179839255,-74.07576540110037,70,Dry
2024-07-05,7195989113,4.663700234622123,-74.0493815025266,54,Dry
2024-07-05,7195989423,4.604341654276547,-74.08426708339174,66,Dry
2024-07-05,7195989499,4.74707891616866,-74.0361511087059,77,Dry
2024-07-05,7195989614,4.623537437462805,-74.09651620217743,180,Chilled
2024-07-05,7195989885,4.693321704247576,-74.03458690785915,70,Chilled
2024-07-05,7195990049,4.689088692455214,-74.13116093414517,100,Chilled
2024-07-05,7195990049,4.689088692455214,-74.13116093414517,120,Frozen
2024-07-05,7195990090,4.757272356504917,-74.13774051478667,69,Dry
2024-07-05,7195990247,4.709701206589812,-74.10407120762952,72,Chilled
2024-07-05,7195990318,4.689150158033391,-74.13107450058195,65,Chilled
2024-07-05,7195990372,4.5884169631409915,-74.20357183730869,307,Chilled
