ClientID,Lat,Lon,Kg,ProductType
10161207,4.620049634526136,-74.09991822967912,9,Chilled
10161207,4.620049634526136,-74.09991822967912,1,Dry
10199500,4.589917008466516,-74.11991220188041,1,Chilled
10199500,4.589917008466516,-74.11991220188041,3,Dry
10215160,4.809957689548582,-74.04006814893746,1,Dry
10215161,4.849914483719232,-74.10002874191989,11,Chilled
10215161,4.849914483719232,-74.10002874191989,7,Dry
10215161,4.849914483719232,-74.10002874191989,0,Frozen
10215257,4.679900589725418,-74.11006127969853,4,Chilled
10215257,4.679900589725418,-74.11006127969853,18,Dry
10215257,4.679900589725418,-74.11006127969853,1,Frozen
10215503,4.720042473372062,-74.04008551673654,0,Chilled
10215503,4.720042473372062,-74.04008551673654,1,Dry
10215504,4.740000960539839,-74.02992123444741,1,Chilled
10215504,4.740000960539839,-74.02992123444741,1,Dry
10215523,4.760045912577146,-74.04993189252683,2,Chilled
10215523,4.760045912577146,-74.04993189252683,2,Dry
10215527,4.760012872293339,-74.06005776799516,0,Chilled
10215527,4.760012872293339,-74.06005776799516,0,Dry
10215529,4.690075934065329,-74.06997328086035,0,Chilled
10215529,4.690075934065329,-74.06997328086035,1,Dry
10215532,4.62004240105597,-74.0799703864643,0,Chilled
10215532,4.62004240105597,-74.0799703864643,1,Dry
10215536,4.700023302155926,-74.04003741090006,1,Chilled
10215536,4.700023302155926,-74.04003741090006,2,Dry
10215538,4.709900690839384,-74.02993260994721,0,Chilled
10215538,4.709900690839384,-74.02993260994721,0,Dry
10215541,4.599963113627184,-74.08004682930422,1,Chilled
10215541,4.599963113627184,-74.08004682930422,1,Dry
10215554,4.700001732958474,-74.04005393937412,1,Chilled
10215554,4.700001732958474,-74.04005393937412,1,Dry
10215555,4.659969606110541,-74.06001080326584,1,Chilled
10215555,4.659969606110541,-74.06001080326584,1,Dry
10215560,4.599918449621173,-74.17999119387804,0,Chilled
10215560,4.599918449621173,-74.17999119387804,1,Dry
10215565,4.6600498616623325,-74.05996470946486,4,Chilled
10215565,4.6600498616623325,-74.05996470946486,3,Dry
10215573,4.739988837584337,-74.06003986929221,1,Chilled
10215573,4.739988837584337,-74.06003986929221,0,Dry
10238020,4.709956011894092,-74.23003955799588,2,Chilled
10238020,4.709956011894092,-74.23003955799588,5,Dry
10238020,4.709956011894092,-74.23003955799588,2,Frozen
10241760,4.7499210760146156,-74.04003713638758,10,Chilled
10241760,4.7499210760146156,-74.04003713638758,84,Dry
10260374,4.790005802235292,-73.9499507654935,32,Chilled
10260374,4.790005802235292,-73.9499507654935,61,Dry
10260374,4.790005802235292,-73.9499507654935,1,Frozen
10261648,4.699920670887412,-74.13995444776751,22,Chilled
10261648,4.699920670887412,-74.13995444776751,70,Dry
10271388,4.6600902840415666,-74.0700383053635,1,Chilled
10271388,4.6600902840415666,-74.0700383053635,8,Dry
10272854,4.699980057358179,-74.05002236953129,1,Chilled
10272854,4.699980057358179,-74.05002236953129,3,Dry
10272854,4.699980057358179,-74.05002236953129,1,Frozen
10280443,4.699915502516103,-74.15992556642053,31,Dry
10282953,4.700062388815991,-74.03997001811094,2,Chilled
10282953,4.700062388815991,-74.03997001811094,2,Dry
10283721,4.660056854692862,-74.05009911353747,0,Dry
10283746,4.7000478097791545,-74.15003033219675,3,Dry
10283805,4.790082620522962,-74.04002897854963,4,Chilled
10283805,4.790082620522962,-74.04002897854963,12,Dry
10283806,4.689902415690408,-74.07999192644843,3,Chilled
10283806,4.689902415690408,-74.07999192644843,1,Dry
10283815,4.599904386364723,-74.07008055755567,1,Chilled
10283815,4.599904386364723,-74.07008055755567,12,Dry
10283815,4.599904386364723,-74.07008055755567,0,Frozen
10283816,4.659958478602301,-74.05991802397978,5,Chilled
10283816,4.659958478602301,-74.05991802397978,28,Dry
10283816,4.659958478602301,-74.05991802397978,0,Frozen
10283817,4.619969614665745,-74.08009929311064,1,Chilled
